Human N 0106
Probe Array Lot: 1004872
Operator Name: JB
Sample Type: Human Normal
Sample Description: exp.  3/17/02
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:82, Count:32
Corner- Avg:7913, Count:32
BF= Alpha1=0.04 Alpha2=0.06 Tau=0.015 Gamma1H=0.0025 Gamma1L=0.0025 Gamma2H=0.003 Gamma2L=0.003 Perturbation=1.1 TGT=500 NF=1.000000 SF=5.707668 SFGene=All 
Background=Avg:54.31,Stdev:0.88,Max:56.8,Min:52.0 Noise=Avg:2.17,Stdev:0.10,Max:2.5,Min:2.0 RawQ=1.96 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
31421_at	16	16	27.7	A	0.378184																															
31422_at	16	16	59.7	A	0.500000																															
31423_at	16	16	47.2	A	0.715253																															
31424_at	16	16	43.8	A	0.697453																															
31425_g_at	16	16	130.9	A	0.418069																															
31426_at	16	16	329.7	A	0.066865																															
31427_at	16	16	29.7	A	0.418069																															
31428_at	16	16	45.4	A	0.602006																															
31429_at	16	16	31.3	A	0.339558																															
31430_at	16	16	10.4	A	0.849473																															
31431_at	16	16	746.9	P	0.005643																															
31432_g_at	16	16	1735.9	P	0.001892																															
31433_at	16	16	20.6	A	0.679170																															
31434_at	16	16	138.5	A	0.541184																															
31435_at	16	16	8.4	A	0.939581																															
31436_s_at	16	16	65.8	A	0.541184																															
31437_r_at	16	16	187.9	A	0.479380																															
31438_s_at	16	16	226.8	P	0.007543																															
31439_f_at	16	16	499.5	A	0.284747																															
31440_at	16	16	151.2	A	0.397994																															
31441_at	16	16	31.2	A	0.837065																															
31442_at	16	16	78.1	A	0.500000																															
31443_at	16	16	115.4	P	0.027860																															
31444_s_at	16	16	11994.5	P	0.000219																															
31445_at	16	16	17.5	A	0.781017																															
31446_s_at	16	16	105.0	A	0.602006																															
31447_at	16	16	64.7	A	0.150527																															
31448_s_at	16	16	8.4	A	0.660442																															
31449_at	16	16	30.3	A	0.641310																															
31450_s_at	16	16	16.9	A	0.849473																															
31451_at	16	16	111.7	A	0.765443																															
31452_at	16	16	17.1	A	0.561639																															
31453_s_at	16	16	13.4	A	0.882840																															
31454_f_at	16	16	107.7	P	0.035163																															
31455_r_at	16	16	12.7	A	0.397994																															
31456_at	16	16	57.5	A	0.302547																															
31457_at	16	16	49.4	A	0.781017																															
31458_at	16	16	299.4	A	0.339558																															
31459_i_at	13	13	4.1	A	0.976800																															
31460_f_at	16	16	12.5	A	0.749276																															
31461_at	16	16	16.2	A	0.781055																															
31462_f_at	16	16	34.7	A	0.541184																															
31463_s_at	16	16	5084.2	P	0.000219																															
31464_at	16	16	19.7	A	0.641310																															
31465_g_at	16	16	31.1	A	0.882840																															
31466_at	16	16	42.1	A	0.520620																															
31467_at	16	16	47.7	A	0.837065																															
31468_f_at	16	16	15.1	A	0.765443																															
31469_s_at	16	16	76.1	A	0.520620																															
31470_at	16	16	89.1	A	0.339558																															
31471_at	16	16	143.5	A	0.162935																															
31472_s_at	16	16	128.4	A	0.081337																															
31473_s_at	16	16	31.0	A	0.500000																															
31474_r_at	16	16	252.5	M	0.043968																															
31475_at	16	16	20.3	A	0.732537																															
31476_g_at	16	16	75.2	A	0.641310																															
31477_at	16	16	419.8	P	0.027860																															
31478_at	16	16	281.4	A	0.107301																															
31479_f_at	16	16	55.3	A	0.250724																															
31480_f_at	16	16	13.7	A	0.765443																															
31481_s_at	16	16	1378.5	P	0.000219																															
31482_at	16	16	55.1	A	0.882840																															
31483_g_at	16	16	27.1	A	0.795978																															
31484_at	16	16	27.4	A	0.978134																															
31485_at	16	16	87.4	A	0.162935																															
31486_s_at	16	16	11.9	A	0.660442																															
31487_at	16	16	30.4	A	0.339558																															
31488_s_at	16	16	344.8	P	0.000219																															
31489_at	16	16	1.0	A	0.997772																															
31490_at	16	16	85.8	A	0.267463																															
31491_s_at	16	16	52.1	A	0.715253																															
31492_at	16	16	3896.3	P	0.000219																															
31493_s_at	16	16	7.6	A	0.837065																															
31494_at	16	16	21.1	A	0.697453																															
31495_at	16	16	209.7	A	0.339558																															
31496_g_at	16	16	138.1	A	0.234557																															
31497_at	16	16	350.3	P	0.027860																															
31498_f_at	16	16	17.9	A	0.581931																															
31499_s_at	16	16	146.1	A	0.320830																															
31500_at	16	16	52.4	A	0.933135																															
31501_at	16	16	13.8	A	0.882840																															
31502_at	16	16	565.2	A	0.189687																															
31503_at	16	16	3270.9	P	0.004863																															
31504_at	16	16	1234.5	P	0.000468																															
31505_at	16	16	14058.7	P	0.000562																															
31506_s_at	16	16	194.2	A	0.378184																															
31507_at	16	16	21.6	A	0.810313																															
31508_at	16	16	6183.5	P	0.000219																															
31509_at	16	16	9169.5	P	0.000219																															
31510_s_at	16	16	1017.1	P	0.000805																															
31511_at	16	16	9640.5	P	0.000219																															
31512_at	16	16	14.0	A	0.697453																															
31513_at	16	16	19.2	A	0.541184																															
31514_at	16	16	319.5	A	0.234557																															
31515_at	16	16	34.6	A	0.964837																															
31516_f_at	16	16	155.3	P	0.024711																															
31517_f_at	16	16	44.3	A	0.218983																															
31518_i_at	15	15	4.0	A	0.997743																															
31519_f_at	16	16	281.9	P	0.002228																															
31520_at	16	16	13.2	A	0.849473																															
31521_f_at	16	16	74.8	A	0.660442																															
31522_f_at	16	16	213.0	A	0.162935																															
31523_f_at	16	16	430.0	P	0.004180																															
31524_f_at	16	16	368.9	P	0.019304																															
31525_s_at	16	16	24649.8	P	0.000219																															
31526_f_at	16	16	487.1	P	0.000322																															
31527_at	16	16	7497.8	P	0.000219																															
31528_f_at	16	16	636.2	A	0.127645																															
31529_at	16	16	55.3	A	0.175989																															
31530_at	16	16	289.7	A	0.339558																															
31531_g_at	16	16	266.6	P	0.000322																															
31532_at	16	16	132.4	A	0.397994																															
31533_s_at	16	16	100.0	A	0.302547																															
31534_at	16	16	24.5	A	0.795978																															
31535_i_at	15	15	115.1	P	0.006227																															
31536_at	16	16	1922.9	P	0.000388																															
31537_at	16	16	126.1	A	0.162935																															
31538_at	16	16	9955.8	P	0.000219																															
31539_r_at	16	16	18.4	A	0.541184																															
31540_at	16	16	31.3	P	0.035163																															
31541_at	16	16	64.4	A	0.284747																															
31542_at	16	16	35.6	A	0.397994																															
31543_at	16	16	18.4	A	0.926170																															
31544_at	16	16	148.9	A	0.602006																															
31545_at	16	16	15895.2	P	0.000388																															
31546_at	16	16	3398.0	P	0.000219																															
31547_at	16	16	7.5	A	0.956032																															
31548_at	16	16	160.3	A	0.378184																															
31549_at	16	16	39.5	A	0.641310																															
31550_at	16	16	69.6	A	0.218983																															
31551_at	16	16	43.3	A	0.541184																															
31552_at	16	16	5.8	A	0.933135																															
31553_at	16	16	21.4	A	0.872355																															
31554_at	16	16	102.8	A	0.358690																															
31555_at	16	16	82.4	A	0.458816																															
31556_at	16	16	92.3	A	0.378184																															
31557_at	16	16	10062.4	P	0.000219																															
31558_at	16	16	67.1	A	0.234557																															
31559_at	16	16	616.1	P	0.031336																															
31560_at	16	16	33.7	A	0.284747																															
31561_at	16	16	4.1	A	0.992457																															
31562_at	16	16	147.1	A	0.138765																															
31563_at	16	16	7.6	A	0.945530																															
31564_at	16	16	170.7	A	0.267463																															
31565_at	16	16	62.2	A	0.500000																															
31566_at	16	16	7.0	A	0.732537																															
31567_at	16	16	253.5	A	0.581931																															
31568_at	16	16	10795.9	P	0.000219																															
31569_at	16	16	31.1	A	0.824011																															
31570_at	16	16	16.8	A	0.641310																															
31571_at	16	16	13.6	A	0.418069																															
31572_at	16	16	53.3	A	0.795978																															
31573_at	16	16	7281.1	P	0.000266																															
31574_i_at	13	13	16.3	A	0.889335																															
31575_f_at	16	16	156.4	A	0.098054																															
31576_at	16	16	19.6	A	0.520620																															
31577_at	16	16	61.6	M	0.048995																															
31578_at	16	16	10.9	A	0.561639																															
31579_at	16	16	34.2	A	0.824011																															
31580_at	16	16	6.6	A	0.581931																															
31581_at	16	16	15.7	A	0.795978																															
31582_at	16	16	55.6	A	0.697453																															
31583_at	16	16	7652.6	P	0.000219																															
31584_at	16	16	8153.2	P	0.000219																															
31585_at	16	16	10.4	A	0.964837																															
31586_f_at	16	16	98.4	A	0.358690																															
31587_at	16	16	384.9	A	0.162935																															
31588_at	16	16	55.4	A	0.189687																															
31589_at	16	16	33.9	A	0.339558																															
31590_g_at	16	16	623.9	A	0.162935																															
31591_s_at	16	16	10.5	A	0.795978																															
31592_at	16	16	19.5	A	0.933135																															
31593_at	16	16	38.3	A	0.983000																															
31594_at	16	16	814.8	P	0.031336																															
31595_at	16	16	19.1	A	0.975289																															
31596_f_at	16	16	1490.6	A	0.234557																															
31597_r_at	16	16	1464.7	A	0.204022																															
31598_s_at	16	16	34.9	A	0.697453																															
31599_f_at	16	16	15.6	A	0.956032																															
31600_s_at	16	16	273.8	P	0.000219																															
31601_s_at	16	16	23.6	A	0.837065																															
31602_at	16	16	46.6	A	0.679170																															
31603_at	16	16	72.7	A	0.500000																															
31604_at	16	16	24.8	A	0.960635																															
31605_at	16	16	624.9	P	0.005643																															
31606_at	16	16	75.1	A	0.089405																															
31607_at	16	16	95.6	A	0.234557																															
31608_g_at	16	16	2566.3	P	0.000266																															
31609_s_at	16	16	1712.0	P	0.008689																															
31610_at	16	16	44.9	A	0.749276																															
31611_s_at	16	16	13.5	A	0.810313																															
31612_at	16	16	5.0	A	0.996933																															
31613_at	16	16	16.3	A	0.697453																															
31614_at	16	16	87.5	M	0.043968																															
31615_i_at	15	15	11.5	A	0.904277																															
31616_r_at	16	16	4.0	A	0.901946																															
31617_at	16	16	83.6	A	0.541184																															
31618_at	16	16	47.4	A	0.715253																															
31619_at	16	16	11.6	A	0.749276																															
31620_at	16	16	28.9	A	0.500000																															
31621_s_at	16	16	207.9	A	0.138765																															
31622_f_at	16	16	1691.0	P	0.027860																															
31623_f_at	16	16	2083.5	P	0.009985																															
31624_at	16	16	31.9	A	0.861235																															
31625_at	16	16	6.1	A	0.660442																															
31626_i_at	13	13	585.9	A	0.098025																															
31627_f_at	16	16	114.7	A	0.302547																															
31628_at	16	16	13.6	A	0.581931																															
31629_at	16	16	88.8	P	0.007543																															
31630_at	16	16	9.8	A	0.960635																															
31631_f_at	16	16	9.0	A	0.824011																															
31632_at	16	16	25.3	A	0.679170																															
31633_g_at	16	16	221.6	A	0.234557																															
31634_at	16	16	146.4	A	0.204022																															
31635_g_at	16	16	28.9	A	0.715253																															
31636_s_at	16	16	417.7	A	0.162935																															
31637_s_at	16	16	771.7	A	0.500000																															
31638_at	16	16	4195.3	P	0.000468																															
31639_f_at	16	16	28.5	A	0.861235																															
31640_r_at	16	16	112.6	A	0.892699																															
31641_s_at	16	16	852.8	M	0.054470																															
31642_at	16	16	30.5	A	0.234557																															
31643_at	16	16	13.6	A	0.892699																															
31644_at	16	16	24.6	A	0.945530																															
31645_at	16	16	66.5	A	0.500000																															
31646_at	16	16	10.6	A	0.715253																															
31647_at	16	16	17.1	A	0.910595																															
31648_at	16	16	11.4	A	0.541184																															
31649_at	16	16	2.4	A	0.990025																															
31650_g_at	16	16	37.8	A	0.910595																															
31651_at	16	16	20.5	A	0.458816																															
31652_at	16	16	111.9	A	0.267463																															
31653_at	16	16	80.3	A	0.189687																															
31654_at	16	16	25.8	A	0.520620																															
31655_at	16	16	60.0	A	0.339558																															
31656_at	16	16	4.3	A	0.861235																															
31657_at	16	16	10.8	A	0.872355																															
31658_at	16	16	21.8	A	0.918663																															
31659_at	16	16	307.2	A	0.175989																															
31660_at	16	16	31.8	A	0.951005																															
31661_at	16	16	104.6	A	0.660442																															
31662_at	16	16	53.5	A	0.968664																															
31663_at	16	16	274.1	A	0.250724																															
31664_at	16	16	24.0	A	0.956032																															
31665_s_at	16	16	217.2	P	0.002228																															
31666_f_at	15	15	5.3	A	0.960854																															
31667_r_at	16	16	253.1	A	0.358690																															
31668_f_at	16	16	406.5	M	0.054470																															
31669_s_at	16	16	218.2	A	0.117160																															
31670_s_at	16	16	185.9	P	0.000219																															
31671_at	16	16	816.8	A	0.127645																															
